2023-11-12 22:43:07.265 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 22:43:07.290 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 32636 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 22:43:07.291 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 22:43:07.321 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\xalan\2.7.2\xalan-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/serializer.jar
2023-11-12 22:43:07.321 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\serializer\2.7.2\serializer-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/serializer/2.7.2/xml-apis.jar
2023-11-12 22:43:07.321 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 22:43:07.322 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 22:43:08.424 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 22:43:08.429 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 22:43:08.430 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 22:43:08.431 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 22:43:08.479 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 22:43:08.479 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1157 ms
2023-11-12 22:43:09.732 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 22:43:09.765 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23947ff5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41830479, org.springframework.security.web.context.SecurityContextHolderFilter@65fdf534, org.springframework.security.web.header.HeaderWriterFilter@7bd45f72, org.springframework.security.web.authentication.logout.LogoutFilter@70981abb, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@7a43e0fa, com.hp.blogserver.security.filter.LoginAuthenticationFilter@11fb1f56, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@27c1745f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e5c2d97, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1110b14b, org.springframework.security.web.access.ExceptionTranslationFilter@6a383f91, org.springframework.security.web.access.intercept.AuthorizationFilter@a4637a4]
2023-11-12 22:43:09.994 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 22:43:10.025 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 22:43:10.037 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 22:43:10.048 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 3.088 seconds (process running for 3.621)
2023-11-12 23:03:45.278 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-11-12 23:03:45.303 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:03:45.303 [Thread-5] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-11-12 23:03:45.309 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2023-11-12 23:03:45.311 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2023-11-12 23:03:45.414 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 32636 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 23:03:45.414 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 23:03:45.715 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 23:03:45.715 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:03:45.715 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 23:03:45.715 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 23:03:45.728 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 23:03:45.728 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 313 ms
2023-11-12 23:03:46.333 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 23:03:46.345 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@a503556, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6bb1468e, org.springframework.security.web.context.SecurityContextHolderFilter@3234c2ec, org.springframework.security.web.header.HeaderWriterFilter@539cce97, org.springframework.security.web.authentication.logout.LogoutFilter@5a9772e0, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@78c751a8, com.hp.blogserver.security.filter.LoginAuthenticationFilter@689e2be7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@15c380a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7bfd7be4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63ef5927, org.springframework.security.web.access.ExceptionTranslationFilter@1b9ea9d0, org.springframework.security.web.access.intercept.AuthorizationFilter@436a646b]
2023-11-12 23:03:46.436 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 23:03:46.449 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 23:03:46.451 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 23:03:46.456 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 1.078 seconds (process running for 1240.031)
2023-11-12 23:03:46.458 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2023-11-12 23:08:34.933 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-11-12 23:08:34.944 [Thread-7] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
