2023-11-12 20:08:07.028 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 20:08:07.055 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 26036 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 20:08:07.056 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 20:08:07.086 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\xalan\2.7.2\xalan-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/serializer.jar
2023-11-12 20:08:07.087 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\serializer\2.7.2\serializer-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/serializer/2.7.2/xml-apis.jar
2023-11-12 20:08:07.087 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 20:08:07.087 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 20:08:08.287 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 20:08:08.293 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 20:08:08.297 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 20:08:08.298 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 20:08:08.352 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 20:08:08.353 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1266 ms
2023-11-12 20:08:09.601 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 20:08:09.634 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ee07e08, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6048bd90, org.springframework.security.web.context.SecurityContextHolderFilter@61d2e3d, org.springframework.security.web.header.HeaderWriterFilter@5a7efc54, org.springframework.security.web.authentication.logout.LogoutFilter@716abb9d, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@52c259ae, com.hp.blogserver.security.filter.LoginAuthenticationFilter@12d69614, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@76d1c520, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4e8eb0da, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5f8bba78, org.springframework.security.web.access.ExceptionTranslationFilter@56035c3e, org.springframework.security.web.access.intercept.AuthorizationFilter@6d7bf877]
2023-11-12 20:08:09.863 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 20:08:09.894 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 20:08:09.907 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 20:08:09.917 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 3.19 seconds (process running for 3.799)
2023-11-12 20:13:16.371 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 20:13:16.402 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 29472 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 20:13:16.403 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "prod"
2023-11-12 20:13:16.436 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\xalan\2.7.2\xalan-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/serializer.jar
2023-11-12 20:13:16.436 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\serializer\2.7.2\serializer-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/serializer/2.7.2/xml-apis.jar
2023-11-12 20:13:16.436 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
